0: 46099,8127,21812,41533,14833,1217,23761,27872,7544,43344
1: 7714,41566,10418,22944,38417,2038,27709,44845,16263,46309
2: 32186,50968,49548,28030,27262,32201,15276,33770,33771,33768
3: 13005,32304,35712,37169,22306,15620,3111,29430,33135,40947
4: 48205,28624,34908,4138,40794,21398,20771,30329,19578,29747
5: 13934,20862,13726,33794,47747,51433,14949,2736,37647,16643
6: 9637,43874,44823,44824,44826,44827,44829,51412,6270,50303
7: 759,17395,29244,50740,17532,13245,28640,8097,11701,13535
8: 14622,43074,48049,26192,6035,31948,2485,27900,28083,8978
9: 27667,51269,20044,51672,16189,47483,15956,50872,34992,12197
10: 51436,18238,6926,20587,32044,11121,20410,50374,2479,10880
11: 12280,39736,39737,39738,39739,1505,27327,13691,20414,25745
12: 29235,9803,12875,45007,48090,17530,17531,15742,37040,37767
13: 30372,14966,16431,50414,44668,18136,3766,14146,51902,30954
14: 57,18093,41625,41626,13299,7521,1241,1242,1243,4777
15: 20525,16545,831,40705,565,24417,10422,22004,3127,12240
16: 12873,14542,44289,3816,18542,29195,46371,46941,51759,20376
17: 28544,33147,22954,41555,14287,19514,15762,49985,23105,16718
18: 25719,3600,48870,15204,7285,9488,8044,30286,30287,23541
19: 48737,907,1208,16528,39340,41609,41610,41611,5427,14666
20: 21007,21008,27332,24332,19912,33378,22601,5298,25495,19526
21: 29912,25477,48855,31972,7019,17078,45809,37148,31041,36518
22: 45184,30377,20772,29300,41406,17396,18359,49214,2172,15988
23: 21601,38462,51264,44969,45402,21369,43232,43246,38658,37705
24: 22759,46326,17165,28804,26594,15304,17925,5011,6528,46018
25: 39748,45227,45228,45229,45230,45231,35943,27737,7270,41643
26: 23462,41202,36139,13029,48710,46899,18740,12820,17568,50803
27: 6573,1303,3452,4428,10605,35742,29721,3163,6092,22404
28: 37369,51273,42419,12022,45818,22595,43335,20616,36362,9235
29: 45853,8490,17079,39217,19326,14349,48962,20115,5997,32042
30: 49390,24158,32568,31681,6202,37560,23400,42120,20312,18043
31: 27357,25614,50602,46498,36434,22953,48956,45288,22159,29899
32: 50333,945,43332,19703,33846,36083,22516,29978,12030,46582
33: 35492,31879,11374,31922,34054,32798,48249,35314,4609,40638
34: 34626,26126,6928,15349,6241,2437,28806,50659,33953,44944
35: 36188,35147,8477,17938,25431,44498,13696,49534,27119,49906
36: 31092,27303,3071,18293,46584,47869,32923,4415,34575,2303
37: 16863,43357,25177,7554,17222,25133,10544,41396,49028,7470
38: 40284,30201,10506,10507,38308,38307,35757,34345,34346,5697
39: 34972,570,3650,9166,20747,25820,15401,40482,50618,20406
40: 25126,1053,33822,25917,9439,12051,12052,40109,27981,46051
41: 22200,7842,29907,29721,48545,24139,29192,3397,41587,26673
42: 1480,23801,5137,30932,24795,1238,14387,21219,48723,50744
43: 28413,49810,10084,10085,26507,37080,41017,13179,8665,6158
44: 18941,14603,29510,35171,26381,26110,19703,44277,26343,15496
45: 47041,442,20131,49824,10960,51874,19343,33587,2165,37071
46: 766,1565,12112,2375,36467,21766,15394,2648,19097,30833
47: 31465,19794,10399,29653,51818,3988,18559,48886,3545,5797
48: 17000,17001,17002,15768,19556,48617,12834,51268,4117,4693
49: 795,47649,30835,18698,43855,2194,42560,29126,28325,18583
50: 3068,33061,17007,22548,16643,37647,14949,51433,2736,18383
51: 9146,689,45608,14796,51640,15500,17023,48327,46839,30256
52: 35065,12554,51572,35199,48665,4876,13642,13643,13644,13645
53: 31619,51826,20647,13377,8434,41935,23934,46802,46803,46804
54: 4789,25491,46507,42503,13569,34459,25480,33125,20223,28107
55: 34054,35314,31922,11374,32798,40638,42474,42475,42476,27352
56: 16986,45267,27735,31078,10169,25204,51362,40515,41239,4544
57: 10517,24327,42736,40032,49820,4009,42656,19231,16820,28423
58: 50703,16903,44818,36138,26440,3367,40964,25081,43553,50860
59: 22079,47338,11258,32730,41709,25103,25510,22413,25404,32904
60: 29743,48427,3469,41511,22478,39428,50482,28038,34389,10188
61: 16689,6292,43381,42221,7186,38919,27643,3243,45976,28601
62: 28641,28642,28643,28644,28645,28646,28647,28648,30504,38883
